0.38	0.36
0.35	0.26
0.32	0.23
0.29	0.24
0.35	0.28
0.33	0.31
0.23	0.2
0.29	0.24
0.24	0.22
0.31	0.25
0.38	0.32
0.25	0.22
0.32	0.27
0.36	0.3
0.34	0.26
0.36	0.3
0.34	0.31
0.21	0.22
0.36	0.32
0.29	0.29
0.46	0.35
0.3	0.29
0.3	0.22
0.33	0.22
0.28	0.24
0.44	0.35
0.37	0.3
0.18	0.18
0.33	0.28
0.38	0.31
0.32	0.26
0.34	0.31
0.25	0.22
0.32	0.29
0.37	0.34
0.34	0.34
0.28	0.27
0.32	0.32
0.34	0.31
0.28	0.29
0.33	0.26
0.24	0.25
0.32	0.29
0.2	0.18
0.21	0.2
0.31	0.25
0.18	0.17
0.23	0.23
0.36	0.32
0.26	0.27
